,order_id,order_status,order_purchase_timestamp,order_approved_at,order_estimated_delivery_date,customer_zip_code_prefix,customer_city,customer_state
0,a2e4c44360b4a57bdff22f3a4630c173,approved,2017-02-06 20:18:17,2017-02-06 20:30:19,2017-03-01,35590,lagoa da prata,MG
1,132f1e724165a07f6362532bfb97486e,approved,2017-04-25 01:25:34,2017-04-30 20:32:41,2017-05-22,8255,sao paulo,SP
2,8e24261a7e58791d10cb1bf9da94df5c,unavailable,2017-11-16 15:09:28,2017-11-16 15:26:57,2017-12-05,89288,sao bento do sul,SC
3,c272bcd21c287498b4883c7512019702,unavailable,2018-01-31 11:31:37,2018-01-31 14:23:50,2018-02-16,11701,praia grande,SP
4,37553832a3a89c9b2db59701c357ca67,unavailable,2017-08-14 17:38:02,2017-08-17 00:15:18,2017-09-05,2318,sao paulo,SP
5,d57e15fb07fd180f06ab3926b39edcd2,unavailable,2018-01-08 19:39:03,2018-01-09 07:26:08,2018-02-06,48607,paulo afonso,BA
6,2f634e2cebf8c0283e7ef0989f77d217,unavailable,2017-09-27 20:55:33,2017-09-28 01:32:50,2017-10-27,5017,sao paulo,SP
7,ee0db22a8e742b752914016708470ec8,unavailable,2017-08-24 11:04:41,2017-08-24 11:15:11,2017-09-18,23027,rio de janeiro,RJ
8,6ad57aecbae806a7e9cc2cdb6b380711,unavailable,2017-11-30 07:48:24,2017-11-30 08:14:42,2017-12-29,18207,itapetininga,SP
9,9f3458f0433d4cfa472f4682654b8d49,unavailable,2017-07-18 23:36:55,2017-07-18 23:50:17,2017-08-09,83328,pinhais,PR
10,f0df036e9be21fc238f131bbfcdde769,unavailable,2017-02-24 23:39:21,2017-02-24 23:45:14,2017-04-07,76970,pimenta bueno,RO
11,86f0bcd9b426a2c1022ae317c7f27be6,unavailable,2017-03-08 15:13:03,2017-03-08 15:13:03,2017-03-29,87160,mandaguacu,PR
12,98fe01bc254b759c1f2c11d77c2891d5,unavailable,2017-10-17 18:34:56,2017-10-18 18:37:08,2017-11-24,68553,redencao,PA
13,f56dc9034c3962e36d49fb73baa12800,unavailable,2017-08-10 22:20:51,2017-08-12 02:09:15,2017-09-14,65075,sao luis,MA
14,0130f0f71fb0e831d18e6a3b33a3a50c,unavailable,2017-05-12 10:17:23,2017-05-13 03:10:13,2017-05-22,13040,campinas,SP
15,84b8ba39037606b7b30a39d02e9e4154,unavailable,2018-06-27 19:51:02,2018-06-27 20:11:41,2018-07-12,1522,sao paulo,SP
16,2f30c0b1905c65a8ff6c6358bc909625,unavailable,2017-12-08 09:32:48,2017-12-09 13:30:49,2018-01-03,14010,ribeirao preto,SP
17,534a0fbe91a806a1dc6bf09b497e3d6f,unavailable,2018-01-22 02:45:40,2018-01-23 03:36:43,2018-02-06,5877,sao paulo,SP
18,5965bbd72c3ca0d9634419437ca53897,unavailable,2017-01-30 10:29:25,2017-01-30 11:31:31,2017-03-08,37701,pocos de caldas,MG
19,b07abc8b9acaf00e79b4657419f469f3,unavailable,2017-03-09 17:45:04,2017-03-09 17:45:04,2017-03-28,2307,sao paulo,SP
20,1ff6183537eb3a189de77b309ed28ad1,unavailable,2018-01-02 17:31:02,2018-01-04 11:57:21,2018-01-31,26087,nova iguacu,RJ
21,2411e5019928e883d049f7242362c23b,unavailable,2017-09-17 12:15:07,2017-09-17 12:25:09,2017-10-05,35450,itabirito,MG
22,f8303e6eff198d1749d04649a1eb2bb6,unavailable,2018-01-21 20:44:54,2018-01-22 13:58:50,2018-02-21,89874,maravilha,SC
23,c2ccb6c2af36d8492e83ecf528f2755c,unavailable,2018-05-21 13:48:16,2018-05-21 16:14:54,2018-06-05,1235,sao paulo,SP
24,b7be5e58fd37e6165dbb39e8362c8446,unavailable,2017-06-29 18:07:49,2017-06-29 18:23:47,2017-08-02,59090,natal,RN
25,bcd65d5c97ac448bb3efc90b759909fd,unavailable,2018-07-20 16:24:23,2018-07-20 16:44:16,2018-08-01,7716,caieiras,SP
26,46f36d95da75ced0462d57df904d36d0,unavailable,2017-03-02 15:27:25,2017-03-02 15:35:19,2017-03-23,38051,uberaba,MG
27,4748c7d66bbedbf52de84b3bc4cbc482,unavailable,2017-05-25 21:45:54,2017-05-25 21:55:08,2017-06-08,5202,sao paulo,SP
28,79563470c891926bb9507d1ad1ff661d,unavailable,2017-07-05 13:51:35,2017-07-05 17:39:16,2017-07-27,27288,volta redonda,RJ
29,9be3c9722389548409bf4cb39d07e347,unavailable,2017-11-17 13:12:46,2017-11-17 13:50:33,2017-12-11,14500,ituverava,SP
30,05e8a1fd3d354369a3de6e7230a3651f,unavailable,2018-02-16 16:54:07,2018-02-16 17:10:47,2018-03-12,32071,contagem,MG
31,2dd5bcfb8c66b22a80ffe45078eb2a99,unavailable,2017-03-06 21:31:42,2017-03-06 21:45:13,2017-03-29,79333,corumba,MS
32,9d4e334ddde795cd4fbee24dc4b68cfe,unavailable,2017-11-27 16:03:51,2017-11-29 16:22:32,2017-12-22,3360,sao paulo,SP
33,f63be24880200ae32aa24f5b458a3dc3,unavailable,2017-01-27 13:39:53,2017-01-27 14:31:44,2017-03-16,25020,duque de caxias,RJ
34,b842e9225252d13f6af62ff4508d7c43,unavailable,2017-08-02 22:17:16,2017-08-02 22:30:14,2017-08-15,4532,sao paulo,SP
35,f2a335c81aebf64a9a4309436e7af4a8,unavailable,2017-06-05 17:16:12,2017-06-05 17:30:06,2017-06-28,32015,contagem,MG
36,50428fc6ef58fd5cebf433ef7f06be0d,unavailable,2017-12-04 23:10:03,2017-12-05 10:30:43,2017-12-27,14620,orlandia,SP
37,8a20e2954602a0738f264299255fd5af,unavailable,2017-12-27 22:41:49,2017-12-27 23:30:57,2018-01-22,4447,sao paulo,SP
38,2de47e473306065fb0cd0322d8d9952b,unavailable,2017-10-25 13:15:01,2017-10-25 13:29:04,2017-11-16,38181,araxa,MG
39,3a0b1b5c52367a68f9deab55f3464a14,unavailable,2018-03-19 16:22:05,2018-03-19 17:29:41,2018-05-10,89990,sao lourenco do oeste,SC
40,6f04a69509e62866b1837e6a4f22c47f,unavailable,2017-06-12 12:04:09,2017-06-13 04:30:37,2017-07-05,88380,balneario picarras,SC
41,2b3d870a4d670c91f15668cea4fe3aa5,unavailable,2018-01-15 14:32:42,2018-01-15 14:50:13,2018-01-30,5727,sao paulo,SP
42,d9091cd1d6e36cfcebc8b01aab81eff8,unavailable,2018-01-04 11:30:24,2018-01-04 11:39:32,2018-02-02,5628,sao paulo,SP
43,9b932dca249f9971b86dde2f2d7ad412,unavailable,2017-11-20 17:08:43,2017-11-20 17:26:54,2017-12-07,13972,itapira,SP
