,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_estimated_delivery_date,customer_zip_code_prefix,customer_city,customer_state
0,ee64d42b8cf066f35eac1cf57de1aa85,shipped,2018-06-04 16:44:48,2018-06-05 04:31:18,2018-06-05 14:32:00,2018-06-28,13215,jundiai,SP
1,6942b8da583c2f9957e990d028607019,shipped,2018-01-10 11:33:07,2018-01-11 02:32:30,2018-01-11 19:39:23,2018-02-07,38600,paracatu,MG
2,36530871a5e80138db53bcfd8a104d90,shipped,2017-05-09 11:48:37,2017-05-11 11:45:14,2017-05-11 13:21:47,2017-06-08,54762,camaragibe,PE
3,4d630f57194f5aba1a3d12ce23e71cd9,shipped,2017-11-17 19:53:21,2017-11-18 19:50:31,2017-11-22 17:28:34,2017-12-13,91450,porto alegre,RS
4,3b4ad687e7e5190db827e1ae5a8989dd,shipped,2018-06-28 12:52:15,2018-06-28 13:11:09,2018-07-04 15:20:00,2018-08-03,20910,rio de janeiro,RJ
5,b68d69564a79dea4776afa33d1d2fcab,shipped,2018-02-28 08:57:03,2018-02-28 10:40:35,2018-03-05 16:10:13,2018-03-23,24426,sao goncalo,RJ
6,f373335aac9a659de916f7170b8bc07a,shipped,2018-03-17 15:32:31,2018-03-17 15:48:40,2018-03-20 21:08:28,2018-04-13,48410,cicero dantas,BA
7,5869074071e0f56e9085dc3742c97b2a,shipped,2018-06-08 20:06:48,2018-06-12 04:35:37,2018-06-12 14:09:00,2018-06-28,11740,itanhaem,SP
8,6147a4d49752afd35a119d794e481588,shipped,2017-04-25 13:35:09,2017-04-25 13:45:16,2017-05-02 15:29:33,2017-05-29,72715,brasilia,DF
9,95e42e6aaf6264cd3e77c06b32dc3003,shipped,2017-11-24 09:23:33,2017-11-24 10:51:26,2017-11-24 19:07:43,2017-12-08,3271,sao paulo,SP
10,10918fe4d665fda80034712895c2b92f,shipped,2017-06-26 07:04:39,2017-06-26 10:32:39,2017-07-04 11:27:21,2017-08-03,66820,belem,PA
11,f633c884a99eb63866600655356d973e,shipped,2018-04-04 00:33:47,2018-04-04 00:48:50,2018-04-05 19:16:46,2018-04-25,41219,salvador,BA
12,662823ed689412b9a2e5085620e06070,shipped,2018-03-15 15:57:24,2018-03-15 16:11:07,2018-03-19 20:28:42,2018-04-05,74533,goiania,GO
13,c5e1ff5a434a0e128ac186bd92c1060d,shipped,2018-03-10 13:39:36,2018-03-10 13:50:29,2018-03-21 19:18:22,2018-04-06,71725,brasilia,DF
14,c4abf2eb2ea936ee6fc6e630b152fb77,shipped,2017-03-09 20:50:46,2017-03-09 20:50:46,2017-03-14 10:01:57,2017-04-03,23067,rio de janeiro,RJ
15,504ec2b6f69e898c557955750272d563,shipped,2018-05-07 21:43:48,2018-05-07 21:54:31,2018-05-08 14:17:00,2018-05-21,6327,carapicuiba,SP
16,ed1407b1e486fadba3e6cd4460dccd56,shipped,2017-10-22 12:55:42,2017-10-22 13:14:28,2017-10-24 11:46:06,2017-11-14,23050,rio de janeiro,RJ
17,dd94f2867bcd2be2229f44d7a0df4e5b,shipped,2017-03-28 09:43:17,2017-03-29 02:10:56,2017-03-29 15:20:18,2017-04-17,9931,diadema,SP
18,362cc20bf09835f4398cedd319fb7d8e,shipped,2018-03-27 12:10:05,2018-03-29 03:28:46,2018-04-04 19:08:37,2018-04-19,41720,salvador,BA
19,f05b87cae9d521c780bc3dfc281ca892,shipped,2018-08-04 12:49:06,2018-08-05 12:45:15,2018-08-06 11:55:00,2018-08-24,64049,teresina,PI
20,ad27779fb29796c8d798f29aefedf3d0,shipped,2018-04-05 11:39:33,2018-04-05 11:55:21,2018-04-05 21:32:19,2018-04-27,61932,maracanau,CE
21,38d6205cb4508e8d63dcbae0aac1fe96,shipped,2018-05-02 09:02:58,2018-05-03 03:55:26,2018-05-03 14:18:00,2018-05-25,85415,cafelandia,PR
22,9a01e11eb3e82a6d9e7bd3f3acafa7ca,shipped,2018-03-02 22:07:38,2018-03-03 15:35:24,2018-03-06 00:04:29,2018-04-02,95717,pinto bandeira,RS
23,1488ee1c0dc7439e64d5df80ae9f6089,shipped,2018-03-16 17:44:05,2018-03-16 17:55:36,2018-03-22 20:33:27,2018-04-13,88780,imbituba,SC
24,df6340ee228a1f029c6341931763f177,shipped,2017-12-01 21:55:25,2017-12-02 10:18:29,2017-12-04 21:52:21,2017-12-27,24723,sao goncalo,RJ
25,8d994041d6127d2acc8d13aad557e75f,shipped,2017-03-24 21:48:54,2017-03-24 22:02:26,2017-03-25 09:33:55,2017-04-19,22753,rio de janeiro,RJ
26,a3d1ef2562cf71542edfed06c1a7b6c8,shipped,2017-01-21 11:43:35,2017-01-24 03:42:07,2017-01-24 10:16:53,2017-03-08,33913,ribeirao das neves,MG
27,195070d2d0eb1da7d93b958bce36d1ef,shipped,2017-02-08 05:56:31,2017-02-10 03:03:30,2017-02-15 09:14:40,2017-03-10,18087,sorocaba,SP
28,7785b07bcf7b5bf8fbf50e491382d98e,shipped,2018-04-17 20:31:30,2018-04-17 20:51:47,2018-04-19 00:51:15,2018-05-04,14402,franca,SP
29,ee1c259624feb697ba9a84a268f77cfa,shipped,2018-02-22 19:22:04,2018-02-22 19:35:26,2018-02-23 20:47:18,2018-03-19,28970,araruama,RJ
30,027b013d2186e25c2b82beb3679d0833,shipped,2018-04-11 15:49:16,2018-04-11 16:10:51,2018-04-13 20:05:02,2018-05-02,28605,nova friburgo,RJ
31,02ea547b6d2ee25305588fd50df58b46,shipped,2017-03-23 22:03:43,2017-03-23 22:10:24,2017-03-28 11:43:01,2017-04-18,91330,porto alegre,RS
32,62076e9aa47cedb799ddc84812264c9e,shipped,2018-06-09 19:28:03,2018-06-09 19:50:51,2018-06-11 13:50:00,2018-07-04,28460,miracema,RJ
33,914e3f7135c8d9046278a046552ebb6e,shipped,2017-04-11 12:22:13,2017-04-13 02:42:05,2017-04-13 15:56:24,2017-05-16,45530,itacare,BA
34,83a9c18344682fcbc57696019ff1ff2a,shipped,2017-08-11 17:40:19,2017-08-11 17:55:23,2017-08-14 18:22:53,2017-09-13,98590,santo augusto,RS
35,727ff4968b521aca37f5ac012eb0c9ad,shipped,2017-11-24 12:03:10,2017-11-24 13:53:53,2017-11-29 21:21:22,2017-12-08,6856,itapecerica da serra,SP
36,c972a78eeb0dde0aac82eb51b1450c53,shipped,2017-09-30 11:00:12,2017-09-30 11:14:10,2017-10-04 20:22:38,2017-10-27,35900,itabira,MG
37,e247a0570d308da27cd7f349902e66f8,shipped,2018-03-13 11:53:42,2018-03-13 12:10:28,2018-03-14 16:04:59,2018-04-02,37502,itajuba,MG
38,e2f630b53cb2637be372c3810b089868,shipped,2017-07-26 11:44:28,2017-07-27 11:25:25,2017-07-27 17:47:51,2017-08-29,68629,paragominas,PA
39,23799ee0d85541263f0637d4b86d5e5b,shipped,2017-05-01 10:23:49,2017-05-01 10:35:20,2017-05-02 11:50:50,2017-05-23,11712,praia grande,SP
40,8e10a1d1a57b6a469bc9a7a95c638b5a,shipped,2017-11-24 06:49:43,2017-11-24 06:57:22,2017-11-24 21:49:31,2017-12-08,9060,santo andre,SP
41,73ef343c9dbf2f6d45362c9bc150f4b7,shipped,2018-08-12 03:44:50,2018-08-13 03:45:08,2018-08-14 14:05:00,2018-08-22,16700,guararapes,SP
42,3ff9af2618b202584a161c19718bf577,shipped,2018-01-07 08:04:11,2018-01-07 08:11:23,2018-01-15 11:24:25,2018-02-05,86610,jaguapita,PR
43,cab618a13f81a7ad42573993ddae2ff2,shipped,2018-02-27 12:19:10,2018-02-27 13:00:30,2018-02-28 17:11:46,2018-03-20,22710,rio de janeiro,RJ
44,d37d275bf870e1d9a50b888717929495,shipped,2017-07-16 13:08:37,2017-07-16 13:22:58,2017-07-20 18:03:14,2017-08-08,21875,rio de janeiro,RJ
45,83b5512cab9d85f6f644b4d28e423f06,shipped,2017-06-14 19:52:30,2017-06-14 20:05:27,2017-06-16 15:37:46,2017-07-28,55385,lajedo,PE
46,96d3f09ebc42f05ab83a2ca85483e0b6,shipped,2017-12-13 23:04:15,2017-12-13 23:12:21,2017-12-18 10:43:46,2018-01-10,22621,rio de janeiro,RJ
47,dee6298ce7d1fb2645141ef9972157aa,shipped,2018-04-30 14:06:12,2018-04-30 14:15:24,2018-04-30 12:59:00,2018-05-28,75630,mairipotaba,GO
